2021-12-12 13:42:49+00:00,AnnisaDevi96,b'Dear @gojekindonesia  kenapa ya tiap mau gofood udah ganti resto sampai 10 kali gak ada jawaban nya selalu sama res\xe2\x80\xa6 https://t.co/SJviYgoet5'
2021-12-12 13:41:15+00:00,pelangiy,b'kapok pake gojek @gojekindonesia hy jancok btul mw pukul'
2021-12-12 13:41:14+00:00,laysbeef,b'@gojekindonesia Kak cek dm lagi'
2021-12-12 13:35:07+00:00,gerhat_samuel,"b'@gojekindonesia min pesanan saya via go send ga sampek2, driver nya malah gatau kemana. info di DM ya'"
2021-12-12 13:33:05+00:00,pelangiy,b'@gojekindonesia jelek btl'
2021-12-12 13:32:51+00:00,alfinalfinn,b'customer service @gojekindonesia tuh emang lemot ya kalo ada kendala dari pembeli'
2021-12-12 13:29:32+00:00,anywayh1,b'tolonggg @gojekindonesia ini knp akun ku gabisa order ya udh 2 minggu lebih\xf0\x9f\xa4\x94 saya lapar loh!! https://t.co/G0Ld7rdRNJ'
2021-12-12 13:26:38+00:00,virgoistannies,"b'halo @gojekindonesia saldo gopay saya terpotong sendiri 31,900. dan tertera tulisan bahwa digunakan untuk pembayara\xe2\x80\xa6 https://t.co/satHZbJfzD'"
2021-12-12 13:22:50+00:00,hhkmhhh,"b'@gojekindonesia kenapa bisa masukin kode voucher gofood dan berhasil, tapi vouchernya tidak muncul?'"
2021-12-12 13:20:27+00:00,cipittipistipis,b'@gojekindonesia Cek dm plis'
2021-12-12 13:19:11+00:00,laysbeef,"b'@gojekindonesia Permisi admin, saya ingin menghapus akun gojek customer karena satu dan lain hal. Untuk caranya bag\xe2\x80\xa6 https://t.co/mOSJaIHRvn'"
2021-12-12 13:18:52+00:00,clajikesya,"b'@gojekindonesia Telat banget jawabnya ka, udah kemaleman, tokonya udah pada tutup \xf0\x9f\x98\x91'"
2021-12-12 13:13:24+00:00,AizaWlndr,b'@gojekindonesia min bales dm dong \ngopay sy blm masuk masuk dr 2 hr yg lalu :('
2021-12-12 13:13:14+00:00,rannips,"b'@gojekindonesia halo gojek, mohon infonya kalau sop driver itu gimana ya? Saya 2 kali order gojek tp semuanya ga ba\xe2\x80\xa6 https://t.co/kpRa06xGtQ'"
2021-12-12 13:13:02+00:00,laysbeef,b'@gojekindonesia cek dm min'
2021-12-12 13:13:02+00:00,amercreidi,"b'@gojekindonesia halo, minta tolong cek dm ya'"
2021-12-12 13:12:50+00:00,adieraditz,"b'@nafiahmutiara23 @gojekindonesia Sma gw jg gitu, kelaperan niat pk gofood biar cpt, malah jd lebih lama...\nLiat dah\xe2\x80\xa6 https://t.co/0QcklrVXJD'"
2021-12-12 13:11:22+00:00,adieraditz,"b'@gojekindonesia ini gw mesen sedeket ini, yang ngambil jauh banget, mana jalannya lelet.... Jahat banget appnya sen\xe2\x80\xa6 https://t.co/HSQbWnEMWX'"
2021-12-12 13:10:28+00:00,ofBluesy,"b'@gojekindonesia Oke, tolong cek dm aku ya admin, tolong banget.'"
2021-12-12 13:04:42+00:00,sloppyvie,b'@gojekindonesia @ganjar_pranowo Min cek dm'
2021-12-12 13:02:42+00:00,ViraTanka,b'@gojekindonesia Terima kasih ya atas responsnya :)'
2021-12-12 13:00:42+00:00,eka_gendut,b'@ndy_saaa @cumaakunreceh @MRpluviophile @gojekindonesia Sewa.. kasih minta lah'
2021-12-12 12:59:28+00:00,clajikesya,"b'@nielsartika @gojekindonesia Grab mah aneh nil, masa akun grab semua orang serumah tiba tiba suspended semua, minta\xe2\x80\xa6 https://t.co/7rxc97sst9'"
2021-12-12 12:59:10+00:00,Serseran_,b'@gojekindonesia tolong dibantu DM Yaa\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
2021-12-12 12:56:51+00:00,dracgomalfoy,b'Saya nunggu balesan anda dari pagi nih masa bales bentar aja gabisaa @gojekindonesia'
2021-12-12 12:56:14+00:00,dracgomalfoy,b'HALOOO GOJEK @gojekindonesia'
2021-12-12 12:51:20+00:00,ofBluesy,b'@gojekindonesia gimana sih min masa voucher di akun gojek aku ilang semua gak bersisa..'
2021-12-12 12:43:37+00:00,callmefatma_,b'Halo @gojekindonesia saya top up gopay lewat mbanking kok tidak masuk ya? Padahal berhasil. Mohon bantuannya terima kasih'
2021-12-12 12:38:40+00:00,fahrurrosidi,b'sekarang ada fitur rapel kiriman dr @gojekindonesia tanpa minta persetujuan konsumen. apakah @gojekindonesia mengam\xe2\x80\xa6 https://t.co/DX0kidzo4z'
2021-12-12 12:31:18+00:00,sepatumerahmuda,b'@gojekindonesia halo min cek dm'
2021-12-12 12:29:37+00:00,SipenkAyas,b'RT @Alliinzz: Jadi Kangen Bang MP. Ambarita\n\n@gojekindonesia https://t.co/ChZtKqmFvM'
2021-12-12 12:21:43+00:00,Tepoz_690304,"b'RT @Aryprasetyo85: Dukung yg dilakukan Pemprov Jawa Tengah @humasjateng, dibawah komando Gubernur @ganjarpranowo bentuk sinergitas peningka\xe2\x80\xa6'"
2021-12-12 12:20:51+00:00,hariyots,b'@prawestiii @JeromePolin @gojekindonesia ada dong'
2021-12-12 12:19:20+00:00,sireinssi,b'@gojekindonesia min kalo aku mau ganti nomer tp nomer yg ini udh kepakai di akun sebelumnya gmn ya?? PLS BANTUIN HUHU\xf0\x9f\x98\xa5'
2021-12-12 12:18:57+00:00,prawestiii,b'@hariyots @JeromePolin @gojekindonesia Ada di gofud/grabfud/sopifud gak kak?'
2021-12-12 12:16:21+00:00,Bangdjabot,"b'Berapa kali ada masalah saya gapernah komplain takut diputus mitra, siapa tau tulang punggung keluarga. Tapi kalo b\xe2\x80\xa6 https://t.co/irdzoePdY6'"
2021-12-12 12:13:15+00:00,nafiahmutiara23,b'Plis @gojekindonesia kenapa gabisa cancel karena nunggu driver kelamaan?? Kenapa harus otomatis nyari driver baru kalau dicancel drivernya?'
2021-12-12 12:11:40+00:00,nafiahmutiara23,"b'Asli gapaham sama @gojekindonesia . Beberapa kali ini pesen gofood, dapet driver yang jauh banget. Udah chat bersed\xe2\x80\xa6 https://t.co/B7f8PXdzIW'"
2021-12-12 12:08:06+00:00,dipra92,b'@gojekindonesia min ini dari tadi mau verif akun gini terus. https://t.co/8H9yN7q8mk'
2021-12-12 12:06:44+00:00,jwkvrs,"b'@gojekindonesia tolong dong gojek gue udh sebulanan ni begini terus, di dm gadibales gmn sih https://t.co/1c498KcXUf'"
2021-12-12 12:00:54+00:00,watermylone,b'@gojekindonesia @SAzwardi__ Ini saya complain soal gagal terus upgrade gopay plus kok gak dijawab jawab ya? CS-nya kacau banget'
2021-12-12 12:00:43+00:00,pawntech,"b'Min, kok gada driver sama sekali @gojekindonesia \xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2. Padahal ga ujan. Area Surabaya Timur https://t.co/8bW2FFohIZ'"
2021-12-12 11:58:32+00:00,akangjale,b'Gofood Gagal Terus euyyy. kenape luuu tong @gojekindonesia @gofoodindonesia Sepi driver mulu'
2021-12-12 11:58:14+00:00,Aryprasetyo85,"b'Dukung yg dilakukan Pemprov Jawa Tengah @humasjateng, dibawah komando Gubernur @ganjarpranowo bentuk sinergitas pen\xe2\x80\xa6 https://t.co/1pVq1Qm23A'"
2021-12-12 11:51:56+00:00,Bangdjabot,"b'Min @gojekindonesia udah mau setengah jam berdiri dipinggir jalan, 2x nunggu gadapet driver, sekalinya dapet doi be\xe2\x80\xa6 https://t.co/Q8Mt4Qk3Wh'"
2021-12-12 11:44:33+00:00,qtdreamcityx,b'Dear @gojekindonesia apa kabar saldo saya yang nyangkut? Ini sudah 2x24 jam sejak laporan saya sebelumnya tapi samp\xe2\x80\xa6 https://t.co/8fFJpihmNO'
2021-12-12 11:44:03+00:00,fbrxant21,b'@gojekindonesia min tolong cek dm'
2021-12-12 11:41:00+00:00,bubutaeyong95,"b""RT @humasjateng: Kamis (9/12), Gubernur @ganjarpranowo menghadiri acara 'Bangkit Bersama Jawa Tengah'. \n\nAcara ini untuk membangun kerja sa\xe2\x80\xa6"""
2021-12-12 11:39:54+00:00,cimorysqueeze,b'@gojekindonesia cek dm min'
2021-12-12 11:39:45+00:00,hasbeenslain,"b'ini gue doang atau semua sih? kok gofood, grabfood bahkan car/bikenya bener2 gak nemu driver???? susah bgt drtd ast\xe2\x80\xa6 https://t.co/lm4iGRELrP'"
2021-12-12 11:35:45+00:00,tokopedia,"b""RT @humasjateng: Kamis (9/12), Gubernur @ganjarpranowo menghadiri acara 'Bangkit Bersama Jawa Tengah'. \n\nAcara ini untuk membangun kerja sa\xe2\x80\xa6"""
2021-12-12 11:33:17+00:00,ViraTanka,"b'kalo app @gojekindonesia tiba2 kelogout, terus appnya bilang ada error dan nyuruh login lagi, perlu curiga gak ya?\xe2\x80\xa6 https://t.co/mP0yJ8d8ng'"
2021-12-12 11:33:02+00:00,Dedman011,b'Dear @gojekindonesia  nih aku hanya punya satu promo doang gratis ongkir 10 ribu ... Padahal teman teman minta trak\xe2\x80\xa6 https://t.co/bcSTKPZZM3'
2021-12-12 11:29:03+00:00,putupotato,b'Kak plis ini e-toll ketinggalan\xf0\x9f\x98\x83\xf0\x9f\x98\x83\xf0\x9f\x98\x83 @gojekindonesia'
2021-12-12 11:28:58+00:00,khaaanz_,b'@hazelnutbery @gojekindonesia Beda case aja sih tapi csnya emg meresahkan'
2021-12-12 11:28:24+00:00,paulus_91,"b'Terima kasih @gojekindonesia yang mengizinkan saya masuk lewat jalur @tokopedia \xf0\x9f\x91\x8d\n\nGa nyesel pakai @gojekindonesia, banyak promonya'"
2021-12-12 11:24:49+00:00,urrdopamine,b'kenapa ini gak pesen antar.. @gojekindonesia https://t.co/A4Cf7MH9Ft'
2021-12-12 11:23:56+00:00,Angelholm01,b'@gojekindonesia halo saya ada topup gopay kok belom masuk udah 1-2 jam'
2021-12-12 11:22:30+00:00,adhedheaww,b'Gimana ya cara mengaktifkan akun gojek aku yang udah keblokir??? Abis isi gopay dan mau pesen tbtb langsung gabisa\xe2\x80\xa6 https://t.co/leuR1mASMv'
2021-12-12 11:22:25+00:00,alkuffarr,b'@gojekindonesia kalo complain gapernah ditanggepin sip aja gw mah'
2021-12-12 11:19:50+00:00,dearmingyuu,b'@gojekindonesia woee gojek w pesen 5x kenapa gak ada yg ambil w mau pulang\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
2021-12-12 11:18:15+00:00,hazelnutbery,b'@khaaanz_ @gojekindonesia huhu pernah jg kah?'
2021-12-12 11:16:14+00:00,seokjinvj,b'@gojekindonesia min akun saya kok jd ga dapet voucher samsek ya.. sedih'
2021-12-12 11:14:04+00:00,adhedheaww,"b'Gimana untuk bisa digunakan kembali ya, tolong di follow up cepat!!!! @gojekindonesia'"
2021-12-12 11:12:44+00:00,adhedheaww,b'Kenapa ya 2 akun gojek aku setiap abis isi gopay selalu tidak bisa dipakai? Jadinya gojek dan gopay dan aku nyangku\xe2\x80\xa6 https://t.co/iyvqMjVxiU'
2021-12-12 11:11:12+00:00,efahmi,"b'@gojekindonesia Halo, sudah seminggu nih, apa sudah dicek? Saya masih tunggu updatenya. Makasih.'"
2021-12-12 11:09:22+00:00,irarorowangi,b'@gojekindonesia min tolong cek dm makasihh'
2021-12-12 11:08:03+00:00,khaaanz_,b'@hazelnutbery @gojekindonesia Emg meresahkan sih wkwk'
2021-12-12 11:07:28+00:00,andrewahjoe,b'Murah sih  @Maxim_Indonesia @IndriverID tapi sulit booking-nya. Kalo mereka pengen tarif mahal sih kita mending sek\xe2\x80\xa6 https://t.co/dzAjW5ghZd'
2021-12-12 11:04:32+00:00,dracgomalfoy,b'Saya mau upgrade ke gopay plus kok gabisa ya min? Tolong responnya @gojekindonesia'
2021-12-12 11:03:46+00:00,hazelnutbery,"b'tiba tiba dikirim barang padahal lagi ga pesen barang, bisa tau alamat sama nama juga\xf0\x9f\x98\xad gimana ni @gojekindonesia meresahkan bgt \xf0\x9f\x98\xad'"
2021-12-12 11:03:20+00:00,eatyourbrunch,b'@gojekindonesia sudah didm tolong cek'
2021-12-12 11:02:40+00:00,tukangngopihits,b'Halo @gojekindonesia gara\xc2\xb2 promo/flash sale Alfamart 12.12 jd susah order. Udh lah km ckp promo seperti biasa aja u\xe2\x80\xa6 https://t.co/lRg80Sbh1J'
2021-12-12 11:02:14+00:00,Fahrizalemiauw,b'Terima kasih @gojekindonesia promo hari ini healing sekali untuk jasmani dan rohaniku'
2021-12-12 11:01:29+00:00,waarmair,b'@gojekindonesia min cek dm'
2021-12-12 10:59:25+00:00,eatyourbrunch,b'@gojekindonesia @gotixindonesia min mau tanya ini kenapa gak bisa booking seat ya :( muncul gini terus https://t.co/TMvHz1xRzQ'
2021-12-12 10:56:04+00:00,clajikesya,"b'Halo @gojekindonesia tolong jawab dong pertanyaan saya. Ini mau pesan gofood dari kemarin sampai sekarang, bahkan s\xe2\x80\xa6 https://t.co/bMmwXmX0WA'"
2021-12-12 10:53:08+00:00,4everyong22,b'Min @gojekindonesia ini menunya mcd dapet kalender? @McDonalds https://t.co/XBc4GIs7Sg'
2021-12-12 10:53:01+00:00,wankero,"b'Buat ngirim barang @gojekindonesia jelek sih, kalah jauh dibanding @GrabID. \n\nBegitu masuk order, org yg dipesen\n\xe2\x9c\x85\xe2\x80\xa6 https://t.co/zcQM165DdV'"
2021-12-12 10:52:07+00:00,_HendraZM_,"b'@gojekindonesia min, tolong cek DM'"
2021-12-12 10:47:13+00:00,Random81231218,b'@gojekindonesia Ini Gopay Later gmn cara matikan total? Lagi menghina atau apa ya limit 100 rb doank?'
2021-12-12 10:43:55+00:00,nitayulistiani7,b'aduanku ga direspons samsek sm gojek huhu sedih @gojekindonesia'
2021-12-12 10:42:24+00:00,astifz,b'Sekarang gak @gojekindonesia gak @GrabID susah banget dapetnya \xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2'
2021-12-12 10:40:10+00:00,humanwannabe3,b'@gojekindonesia min area basuki rahmat sby emang lagi sudah driver buat gofood ya?'
2021-12-12 10:37:59+00:00,idkwhoyun,b'@agnesmlfny perjalanan lebih mudah jika kamu pakai @gojekindonesia'
2021-12-12 10:37:03+00:00,ajaesshi6,b'Min cek dm dong @gojekindonesia'
2021-12-12 10:33:06+00:00,randhilicious,b'@tokopedia Kalo Promo pake kuota2an udah gitu ga dijatah restock kuota promo berkala (maksudnya sekali rilis kuota\xe2\x80\xa6 https://t.co/a41Q1OENuD'
2021-12-12 10:30:32+00:00,Fikri60245513,b'@gojekindonesia untuk cara menghapus nomer lama di akun gojek bagaimana ya min? Soalnya nomor itu sudah tidak aktif\xe2\x80\xa6 https://t.co/Vse8Y0J1z6'
2021-12-12 10:26:30+00:00,justwannafxxk,"b'@gojekindonesia kak, sy mau ganti nomor tapi ini knp gak bisa d masukin yaa pin nya? pls help'"
2021-12-12 10:25:51+00:00,_HendraZM_,"b'@gojekindonesia min, tolong cek DM.'"
2021-12-12 10:18:50+00:00,clajikesya,"b'Halo @gojekindonesia, ini saya dari kemarin mau order gofood di Karawang tapi kok driver not found terus. Kenapa ya\xe2\x80\xa6 https://t.co/PH6QiCABa3'"
2021-12-12 10:17:23+00:00,Berhatinyaman__,b'@shelladzany @gojekindonesia tapi kenapa juga ya di cancel?-_- emang posisi nya hujan ga sih pesennya wkwkw'
2021-12-12 10:15:36+00:00,lesserevile,b'RT @christyo90: @namharailua @gojekindonesia Selalu percayakan belanja harian/mingguan/bulanan kamu hanya di @Indomaret . Karena sesuai den\xe2\x80\xa6'
2021-12-12 10:13:21+00:00,Tweet_Ipan,"b'@gojekindonesia Mau tanya ka, pendaftaran gopaylater ditolak. Bisa daftar lagi setelah berapa bulan ya dari penolakan tersebut.'"
2021-12-12 10:09:04+00:00,shelladzany,b'@Berhatinyaman__ @gojekindonesia maksudnya pada bnyk sekitaran saya pdhll ga jauh jemputnya:('
2021-12-12 10:05:51+00:00,nebulagurll,b'Nunggu driver sejam tapi di cancel 10x. Lol bgt yaa skrg gojek tuh @gojekindonesia'
2021-12-12 10:04:36+00:00,mitmit1712,"b'@gojekindonesia udah kesekian kalinya kayak gini, ada driver deket2 tapi gak ada yg ngambil \xf0\x9f\x99\x84 kenapa sih skrg siste\xe2\x80\xa6 https://t.co/UGQiXkT6dw'"
2021-12-12 10:03:06+00:00,societysucxs,"b'@gojekindonesia min mau tanya ini di akun masih ada voucher gosend sampai tgl 20des, tapi kok setelah auto upgrade\xe2\x80\xa6 https://t.co/jGo96VgSgf'"
2021-12-12 09:56:37+00:00,limerencetiway,b'@gojekindonesia yang bener dong gue udah nungguin main cancel aja driver nya atas nama cucu cantika di pasteur'
2021-12-12 09:54:57+00:00,Hamzah18Ain,b'RT @gojekindonesia: Saatnya pesan GoFood! Ada promo s.d 75% buat pengguna baru!'
